2       100301.jpg       100302.jpg  1     126.5     9.0   155.8  4.7702
3       100501.jpg       100503.jpg  1     155.0    12.5   225.9  5.2786
5       101400.jpg       101402.jpg  1     130.2    12.8   248.3  5.3561
6       101600.jpg       101601.jpg  1     102.1    11.8   208.2  5.2516
9       103100.jpg       103101.jpg  1     283.0    16.5   346.2  5.7515
10       103100.jpg       103900.jpg  1       0.0     0.0     0.0 -0.0000
11       103100.jpg       103901.jpg  1     283.0    16.5   346.2  5.7515
12       103101.jpg       103102.jpg  1     280.7    16.2   339.5  5.7332
13       103101.jpg       103900.jpg  1     277.2    16.6   356.2  5.7646
14       103101.jpg       103901.jpg  1       0.0     0.0     0.0 -0.0000
15       103101.jpg       103902.jpg  1     280.7    16.2   339.5  5.7332
16       103102.jpg       103901.jpg  1     275.4    16.4   345.0  5.7424
17       103102.jpg       103902.jpg  1       0.0     0.0     0.0 -0.0000
18       103400.jpg       103401.jpg  1     116.9    16.4   342.5  5.7450
19       103500.jpg       103501.jpg  1     195.2    12.6   231.3  5.3494
20       103500.jpg       103502.jpg  1     239.0    13.1   242.2  5.4145
21       103500.jpg       103503.jpg  1     229.9    12.9   231.1  5.4012
22       103501.jpg       103502.jpg  1     260.2    13.3   246.7  5.4217
23       103501.jpg       103503.jpg  1     271.1    12.6   225.5  5.3692
24       103502.jpg       103503.jpg  1     220.7    12.3   221.6  5.3286
28       103701.jpg       103702.jpg  1     281.2    14.2   276.6  5.5565
29       103900.jpg       103901.jpg  1     283.0    16.5   346.2  5.7515
30       103901.jpg       103902.jpg  1     280.7    16.2   339.5  5.7332
49       106000.jpg       106002.jpg  1     265.3    12.0   199.4  5.3208
50       106200.jpg       106201.jpg  1     221.2    12.9   248.1  5.3672
51       106200.jpg       106202.jpg  1     220.0    12.8   237.9  5.3713
52       106201.jpg       106202.jpg  1     222.0    12.4   226.5  5.3258
55       106600.jpg       106602.jpg  1     105.3    11.6   221.7  5.1829
57       106603.jpg       106604.jpg  1     110.7     7.7   105.4  4.5601
63       107100.jpg       107101.jpg  1     286.6    15.6   328.2  5.6869
64       107200.jpg       107202.jpg  1     225.4    13.6   255.9  5.5163
66       107400.jpg       107401.jpg  1      94.2    14.6   304.5  5.6122
67       107600.jpg       107601.jpg  1     185.9    15.1   308.8  5.6479
68       108100.jpg       108101.jpg  1      50.2    11.5   205.7  5.1931
75       110301.jpg       110302.jpg  1     232.3    11.9   212.7  5.3260
77       110800.jpg       110802.jpg  1     212.4    13.7   254.6  5.5104
79       110900.jpg       110901.jpg  1     258.6    13.6   270.9  5.4288
80       111000.jpg       111001.jpg  1     197.5    14.4   288.9  5.5110
81       111000.jpg       111002.jpg  1     214.1    14.2   279.3  5.4985
82       111001.jpg       111002.jpg  1     143.4    11.8   208.6  5.2124
83       111400.jpg       111401.jpg  1     203.4    13.1   246.7  5.4423
84       111800.jpg       111801.jpg  1     292.8    11.8   212.5  5.2756
85       112000.jpg       112001.jpg  1     305.9    14.1   274.7  5.4525
86       112100.jpg       112101.jpg  1     144.0    13.1   271.3  5.3717
87       112401.jpg       112402.jpg  1     303.5    14.9   289.4  5.5934
88       112403.jpg       112404.jpg  1     158.2    10.7   186.5  5.1048
89       112404.jpg       112407.jpg  1     212.9    13.2   242.7  5.3955
91       112405.jpg       112407.jpg  1     211.1    12.5   218.8  5.2962
92       112406.jpg       112407.jpg  1     186.9    11.1   192.1  5.0684
93       112406.jpg       112408.jpg  1     221.9    13.6   257.0  5.3964
99       116000.jpg       116001.jpg  1     281.6    14.6   289.6  5.5527
104       117300.jpg       117301.jpg  1     105.1    10.6   175.8  5.1684
106       117400.jpg       117401.jpg  1     280.1    11.8   206.4  5.2354
107       117402.jpg       117403.jpg  1     219.7    12.4   213.2  5.3177
110       118600.jpg       118601.jpg  1      78.8    12.5   223.4  5.3373
111       119200.jpg       119201.jpg  1     270.2    13.4   248.0  5.4579
113       119500.jpg       119501.jpg  1     207.6    12.5   228.2  5.3530
115       120100.jpg       120101.jpg  1     249.8    17.3   371.4  5.7967
130       122800.jpg       122801.jpg  1     230.2    10.1   185.1  5.0189
131       122900.jpg       122901.jpg  1     294.5     8.3   103.2  4.8167
132       123000.jpg       123001.jpg  1     275.4    12.9   256.4  5.4317
133       123002.jpg       123003.jpg  1     154.5    10.1   149.7  5.0716
134       123600.jpg       123601.jpg  1     174.7    13.1   248.5  5.3940
135       123600.jpg       123602.jpg  1     167.3    14.4   276.7  5.5243
136       123601.jpg       123602.jpg  1     154.8    14.7   286.5  5.5437
137       123700.jpg       123701.jpg  1     216.1    12.0   216.4  5.2288
138       123800.jpg       123801.jpg  1     204.7    13.0   240.5  5.3614
143       124100.jpg       124101.jpg  1     114.0    14.4   276.4  5.5111
144       124100.jpg       124201.jpg  1     140.0    15.7   327.1  5.6750
145       124200.jpg       124201.jpg  1     150.9    13.3   245.7  5.4229
146       124200.jpg       124202.jpg  1     141.9    14.5   271.7  5.5436
147       124201.jpg       124202.jpg  1      84.5    13.0   238.1  5.3668
148       124400.jpg       124402.jpg  1     235.8    15.1   307.2  5.6369
150       125202.jpg       125203.jpg  1     262.8    14.3   287.5  5.5378
151       125500.jpg       125501.jpg  1     160.6    12.4   223.3  5.2961
152       125700.jpg       125701.jpg  1      13.0    14.5   296.8  5.5826
153       125700.jpg       125702.jpg  1      14.0    14.5   297.0  5.5920
154       125700.jpg       125703.jpg  1      17.6    16.6   362.9  5.7577
158       125701.jpg       125702.jpg  1       3.9    11.9   234.2  5.2799
159       125701.jpg       125703.jpg  1      19.2    15.7   323.9  5.6733
163       125702.jpg       125703.jpg  1      14.1    15.5   313.9  5.6443
170       125800.jpg       125801.jpg  1       4.3    13.0   221.6  5.4338
171       125800.jpg       125802.jpg  1       4.2    13.1   223.0  5.4401
172       125801.jpg       125802.jpg  1       3.9    13.2   231.1  5.4658
174       126200.jpg       126201.jpg  1     183.2    10.0   172.6  4.7948
176       126400.jpg       126501.jpg  1     135.8    14.7   286.0  5.4439
177       126401.jpg       126402.jpg  1      98.4    10.5   182.4  4.9457
181       127100.jpg       127101.jpg  1     168.7    15.3   307.3  5.6616
