2       100301.jpg       100302.jpg  1     908.6    68.2  9991.5  6.1596  1727.3
3       100501.jpg       100503.jpg  1     336.0    92.2 12907.8  6.9581   633.7
5       101400.jpg       101402.jpg  1     294.5    99.0 15437.2  7.1896   385.2
6       101600.jpg       101601.jpg  1     334.4    88.7 12144.6  7.0513   560.1
9       103100.jpg       103101.jpg  1     873.0   131.6 21826.8  7.6454  1605.0
10       103100.jpg       103900.jpg  1       0.0     0.0     0.0  0.0000     0.0
11       103100.jpg       103901.jpg  1     873.0   131.6 21826.8  7.6454  1605.0
12       103101.jpg       103102.jpg  1     813.0   126.2 20500.8  7.6089  1493.8
13       103101.jpg       103900.jpg  1     851.9   126.8 20614.3  7.5950  1582.0
14       103101.jpg       103901.jpg  1       0.0     0.0     0.0  0.0000     0.0
15       103101.jpg       103902.jpg  1     813.0   126.2 20500.8  7.6089  1493.8
16       103102.jpg       103901.jpg  1     822.9   127.2 20991.0  7.6143  1494.3
17       103102.jpg       103902.jpg  1       0.0     0.0     0.0  0.0000     0.0
18       103400.jpg       103401.jpg  1     854.0   127.6 20972.6  7.6339  1624.3
19       103500.jpg       103501.jpg  1     475.5    99.2 14398.0  7.2139   866.2
20       103500.jpg       103502.jpg  1     592.4   100.2 14450.1  7.2525  1025.4
21       103500.jpg       103503.jpg  1     595.5   100.0 14231.1  7.2605  1010.1
